ID,Prob1
0, 0.37
1, 0.18
2, 0.46
3, 0.31
4, 0.31
5, 0.27
6, 0.52
7, 0.31
8, 0.61
9, 0.78
10, 0.31
11, 0.42
12, 0.46
13, 0.78
14, 0.23
15, 0.78
16, 0.52
17, 0.31
18, 0.44
19, 0.23
20, 0.17
21, 0.31
22, 0.23
23, 0.31
24, 0.52
25, 0.23
26, 0.78
27, 0.61
28, 0.37
29, 0.34
30, 0.31
31, 0.18
32, 0.31
33, 0.31
34, 0.31
35, 0.52
36, 0.78
37, 0.42
38, 0.31
39, 0.23
40, 0.31
41, 0.31
42, 0.18
43, 0.31
44, 0.31
45, 0.27
46, 0.05
47, 0.31
48, 0.31
49, 0.31
50, 0.31
51, 0.27
52, 0.23
53, 0.61
54, 0.31
55, 0.78
56, 0.61
57, 0.26
58, 0.52
59, 0.44
60, 0.42
61, 0.23
62, 0.31
63, 0.28
64, 0.31
65, 0.46
66, 0.42
67, 0.21
68, 0.61
69, 0.23
70, 0.42
71, 0.18
72, 0.42
73, 0.31
74, 0.78
75, 0.46
76, 0.31
77, 0.52
78, 0.18
79, 0.37
80, 0.42
81, 0.31
82, 0.31
83, 0.31
84, 0.31
85, 0.31
86, 0.61
87, 0.44
88, 0.42
89, 0.31
90, 0.52
91, 0.23
92, 0.27
93, 0.05
94, 0.34
95, 0.42
96, 0.31
97, 0.42
98, 0.34
99, 0.31
100, 0.61
101, 0.27
102, 0.23
103, 0.23
104, 0.31
105, 0.23
106, 0.42
107, 0.23
108, 0.34
109, 0.31
110, 0.23
111, 0.31
112, 0.42
113, 0.05
114, 0.23
115, 0.78
116, 0.31
117, 0.52
118, 0.46
119, 0.23
120, 0.42
121, 0.61
122, 0.31
123, 0.23
124, 0.31
125, 0.61
126, 0.37
127, 0.37
128, 0.31
129, 0.61
130, 0.42
131, 0.52
132, 0.44
133, 0.61
134, 0.78
135, 0.31
136, 0.42
137, 0.42
138, 0.42
139, 0.31
140, 0.44
141, 0.46
142, 0.42
143, 0.31
144, 0.42
145, 0.27
146, 0.23
147, 0.37
148, 0.28
149, 0.51
150, 0.23
151, 0.23
152, 0.23
153, 0.42
154, 0.31
155, 0.31
156, 0.28
157, 0.51
158, 0.44
159, 0.78
160, 0.31
161, 0.78
162, 0.23
163, 0.31
164, 0.34
165, 0.46
166, 0.51
167, 0.46
168, 0.31
169, 0.31
170, 0.31
171, 0.31
172, 0.78
173, 0.23
174, 0.31
175, 0.23
176, 0.61
177, 0.23
178, 0.31
179, 0.44
180, 0.31
181, 0.52
182, 0.23
183, 0.44
184, 0.31
185, 0.31
186, 0.44
187, 0.28
188, 0.18
189, 0.31
190, 0.34
191, 0.52
192, 0.27
193, 0.61
194, 0.23
195, 0.23
196, 0.78
197, 0.52
198, 0.42
199, 0.37
200, 0.52
201, 0.23
202, 0.18
203, 0.44
204, 0.31
205, 0.31
206, 0.31
207, 0.44
208, 0.31
209, 0.78
210, 0.23
211, 0.18
212, 0.44
213, 0.78
214, 0.37
215, 0.31
216, 0.27
217, 0.27
218, 0.42
219, 0.31
220, 0.31
221, 0.37
222, 0.44
223, 0.23
224, 0.31
225, 0.28
226, 0.44
227, 0.28
228, 0.78
229, 0.31
230, 0.31
231, 0.31
232, 0.31
233, 0.23
234, 0.44
235, 0.23
236, 0.78
237, 0.42
238, 0.42
239, 0.37
240, 0.31
241, 0.44
242, 0.31
243, 0.28
244, 0.44
245, 0.23
246, 0.31
247, 0.46
248, 0.23
249, 0.52
250, 0.44
251, 0.23
252, 0.23
253, 0.23
254, 0.23
255, 0.61
256, 0.21
257, 0.27
258, 0.31
259, 0.31
260, 0.31
261, 0.46
262, 0.42
263, 0.31
264, 0.52
265, 0.31
266, 0.37
267, 0.23
268, 0.52
269, 0.31
270, 0.31
271, 0.44
272, 0.28
273, 0.42
274, 0.42
275, 0.31
276, 0.34
277, 0.31
278, 0.78
279, 0.31
280, 0.42
281, 0.31
282, 0.31
283, 0.42
284, 0.61
285, 0.31
286, 0.44
287, 0.42
288, 0.31
289, 0.78
290, 0.46
291, 0.78
292, 0.31
293, 0.31
294, 0.31
295, 0.34
296, 0.23
297, 0.27
298, 0.51
299, 0.51
300, 0.31
301, 0.31
302, 0.61
303, 0.31
304, 0.23
305, 0.51
306, 0.23
307, 0.31
308, 0.37
309, 0.23
310, 0.42
311, 0.42
312, 0.05
313, 0.61
314, 0.78
315, 0.31
316, 0.52
317, 0.23
318, 0.23
319, 0.61
320, 0.23
321, 0.42
322, 0.31
323, 0.23
324, 0.27
325, 0.31
326, 0.31
327, 0.23
328, 0.31
329, 0.61
330, 0.23
331, 0.26
332, 0.42
333, 0.23
334, 0.26
335, 0.31
336, 0.31
337, 0.31
338, 0.78
339, 0.23
340, 0.52
341, 0.61
342, 0.44
343, 0.61
344, 0.44
345, 0.23
346, 0.31
347, 0.31
348, 0.23
349, 0.31
350, 0.31
351, 0.52
352, 0.18
353, 0.42
354, 0.52
355, 0.42
356, 0.23
357, 0.23
358, 0.28
359, 0.23
360, 0.31
361, 0.44
362, 0.31
363, 0.23
364, 0.31
365, 0.61
366, 0.23
367, 0.17
368, 0.37
369, 0.42
370, 0.23
371, 0.31
372, 0.23
373, 0.34
374, 0.23
375, 0.52
376, 0.31
377, 0.31
378, 0.31
379, 0.23
380, 0.61
381, 0.44
382, 0.23
383, 0.46
384, 0.42
385, 0.42
386, 0.31
387, 0.46
388, 0.31
389, 0.23
390, 0.44
391, 0.78
392, 0.23
393, 0.23
394, 0.44
395, 0.78
396, 0.44
397, 0.42
398, 0.23
399, 0.23
400, 0.23
401, 0.78
402, 0.61
403, 0.23
404, 0.28
405, 0.23
406, 0.42
407, 0.18
408, 0.31
409, 0.42
410, 0.23
411, 0.52
412, 0.31
413, 0.42
414, 0.78
415, 0.23
416, 0.26
417, 0.18
418, 0.23
419, 0.28
420, 0.31
421, 0.44
422, 0.23
423, 0.52
424, 0.31
425, 0.52
426, 0.23
427, 0.31
428, 0.52
429, 0.52
430, 0.61
431, 0.23
432, 0.52
433, 0.18
434, 0.23
435, 0.42
436, 0.42
437, 0.52
438, 0.42
439, 0.23
440, 0.52
441, 0.31
442, 0.44
443, 0.42
444, 0.78
445, 0.31
446, 0.52
447, 0.42
448, 0.23
449, 0.31
450, 0.31
451, 0.31
452, 0.46
453, 0.37
454, 0.23
455, 0.42
456, 0.31
457, 0.51
458, 0.21
459, 0.78
460, 0.21
461, 0.31
462, 0.52
463, 0.52
464, 0.46
465, 0.51
466, 0.23
467, 0.78
468, 0.23
469, 0.31
470, 0.05
471, 0.31
472, 0.23
473, 0.23
474, 0.31
475, 0.78
476, 0.42
477, 0.31
478, 0.78
479, 0.78
480, 0.28
481, 0.51
482, 0.51
483, 0.31
484, 0.44
485, 0.42
486, 0.28
487, 0.31
488, 0.44
489, 0.21
490, 0.23
491, 0.44
492, 0.52
493, 0.44
494, 0.31
495, 0.46
496, 0.31
497, 0.31
498, 0.42
499, 0.31
500, 0.78
501, 0.31
502, 0.23
503, 0.31
504, 0.18
505, 0.31
506, 0.23
507, 0.44
508, 0.31
509, 0.34
510, 0.52
511, 0.51
512, 0.61
513, 0.23
514, 0.61
515, 0.52
