ID,Prob1
0, 0.29
1, 0.17
2, 0.26
3, 0.24
4, 0.33
5, 0.04
6, 0.44
7, 0.24
8, 0.50
9, 0.80
10, 0.66
11, 0.68
12, 0.26
13, 0.80
14, 0.17
15, 0.66
16, 0.90
17, 0.34
18, 0.35
19, 0.23
20, 0.12
21, 0.52
22, 0.23
23, 0.33
24, 0.44
25, 0.17
26, 0.97
27, 0.86
28, 0.37
29, 0.21
30, 0.33
31, 0.17
32, 0.33
33, 0.33
34, 0.35
35, 0.37
36, 0.66
37, 0.09
38, 0.24
39, 0.23
40, 0.24
41, 0.24
42, 0.17
43, 0.24
44, 0.42
45, 0.35
46, 0.08
47, 0.34
48, 0.24
49, 0.33
50, 0.33
51, 0.35
52, 0.23
53, 0.50
54, 0.42
55, 0.80
56, 0.50
57, 0.08
58, 0.37
59, 0.35
60, 0.57
61, 0.23
62, 0.24
63, 0.37
64, 0.35
65, 0.55
66, 0.36
67, 0.21
68, 0.50
69, 0.23
70, 0.57
71, 0.17
72, 0.36
73, 0.35
74, 0.80
75, 0.39
76, 0.24
77, 0.37
78, 0.26
79, 0.25
80, 0.68
81, 0.24
82, 0.24
83, 0.24
84, 0.33
85, 0.24
86, 0.63
87, 0.51
88, 0.15
89, 0.24
90, 0.44
91, 0.23
92, 0.01
93, 0.08
94, 0.41
95, 0.90
96, 0.26
97, 0.36
98, 0.21
99, 0.33
100, 0.63
101, 0.04
102, 0.23
103, 0.23
104, 0.26
105, 0.17
106, 0.90
107, 0.23
108, 0.21
109, 0.33
110, 0.23
111, 0.42
112, 0.36
113, 0.08
114, 0.17
115, 0.80
116, 0.45
117, 0.44
118, 0.44
119, 0.23
120, 0.36
121, 0.50
122, 0.30
123, 0.23
124, 0.24
125, 0.63
126, 0.29
127, 0.37
128, 0.66
129, 0.32
130, 0.15
131, 0.57
132, 0.66
133, 0.79
134, 0.80
135, 0.26
136, 0.15
137, 0.36
138, 0.36
139, 0.33
140, 0.52
141, 0.55
142, 0.09
143, 0.35
144, 0.60
145, 0.52
146, 0.23
147, 0.37
148, 0.29
149, 0.79
150, 0.23
151, 0.17
152, 0.17
153, 0.36
154, 0.33
155, 0.33
156, 0.29
157, 0.38
158, 0.30
159, 0.66
160, 0.33
161, 0.66
162, 0.17
163, 0.33
164, 0.06
165, 0.39
166, 0.38
167, 0.55
168, 0.24
169, 0.24
170, 0.24
171, 0.24
172, 0.80
173, 0.23
174, 0.33
175, 0.23
176, 0.63
177, 0.23
178, 0.33
179, 0.35
180, 0.42
181, 0.68
182, 0.23
183, 0.35
184, 0.24
185, 0.24
186, 0.52
187, 0.29
188, 0.17
189, 0.24
190, 0.21
191, 0.36
192, 0.35
193, 0.63
194, 0.23
195, 0.23
196, 0.80
197, 0.36
198, 0.57
199, 0.37
200, 0.37
201, 0.23
202, 0.26
203, 0.51
204, 0.33
205, 0.24
206, 0.26
207, 0.66
208, 0.33
209, 0.80
210, 0.17
211, 0.26
212, 0.35
213, 0.80
214, 0.25
215, 0.33
216, 0.05
217, 0.35
218, 0.36
219, 0.24
220, 0.24
221, 0.37
222, 0.52
223, 0.23
224, 0.24
225, 0.37
226, 0.19
227, 0.29
228, 0.66
229, 0.33
230, 0.45
231, 0.33
232, 0.24
233, 0.23
234, 0.35
235, 0.23
236, 0.80
237, 0.15
238, 0.36
239, 0.25
240, 0.24
241, 0.51
242, 0.33
243, 0.25
244, 0.51
245, 0.41
246, 0.35
247, 0.55
248, 0.26
249, 0.44
250, 0.51
251, 0.23
252, 0.17
253, 0.26
254, 0.23
255, 0.63
256, 0.21
257, 0.52
258, 0.42
259, 0.24
260, 0.33
261, 0.55
262, 0.60
263, 0.33
264, 0.44
265, 0.42
266, 0.29
267, 0.23
268, 0.73
269, 0.42
270, 0.24
271, 0.35
272, 0.37
273, 0.90
274, 0.36
275, 0.33
276, 0.41
277, 0.33
278, 0.80
279, 0.24
280, 0.90
281, 0.24
282, 0.24
283, 0.15
284, 0.50
285, 0.26
286, 0.35
287, 0.36
288, 0.33
289, 0.80
290, 0.55
291, 0.66
292, 0.24
293, 0.33
294, 0.05
295, 0.21
296, 0.17
297, 0.50
298, 0.38
299, 0.38
300, 0.35
301, 0.08
302, 0.63
303, 0.26
304, 0.23
305, 0.38
306, 0.17
307, 0.33
308, 0.29
309, 0.17
310, 0.90
311, 0.15
312, 0.08
313, 0.42
314, 0.80
315, 0.35
316, 0.44
317, 0.23
318, 0.01
319, 0.79
320, 0.23
321, 0.36
322, 0.42
323, 0.17
324, 0.35
325, 0.24
326, 0.26
327, 0.23
328, 0.26
329, 0.63
330, 0.23
331, 0.08
332, 0.68
333, 0.23
334, 0.08
335, 0.26
336, 0.24
337, 0.33
338, 0.80
339, 0.17
340, 0.57
341, 0.63
342, 0.35
343, 0.63
344, 0.35
345, 0.23
346, 0.24
347, 0.26
348, 0.23
349, 0.24
350, 0.24
351, 0.44
352, 0.17
353, 0.36
354, 0.36
355, 0.36
356, 0.26
357, 0.23
358, 0.20
359, 0.23
360, 0.33
361, 0.66
362, 0.33
363, 0.23
364, 0.33
365, 0.79
366, 0.23
367, 0.01
368, 0.37
369, 0.68
370, 0.17
371, 0.33
372, 0.23
373, 0.21
374, 0.41
375, 0.44
