ID,Prob1
0, 0.30
1, 0.23
2, 0.53
3, 0.33
4, 0.38
5, 0.26
6, 0.36
7, 0.20
8, 0.51
9, 0.55
10, 0.33
11, 0.31
12, 0.36
13, 0.81
14, 0.23
15, 0.48
16, 0.62
17, 0.33
18, 0.25
19, 0.25
20, 0.38
21, 0.53
22, 0.22
23, 0.37
24, 0.52
25, 0.21
26, 0.76
27, 0.54
28, 0.29
29, 0.45
30, 0.30
31, 0.20
32, 0.23
33, 0.39
34, 0.31
35, 0.42
36, 0.63
37, 0.38
38, 0.25
39, 0.18
40, 0.17
41, 0.23
42, 0.20
43, 0.18
44, 0.48
45, 0.35
46, 0.23
47, 0.30
48, 0.25
49, 0.60
50, 0.27
51, 0.32
52, 0.24
53, 0.51
54, 0.46
55, 0.63
56, 0.59
57, 0.21
58, 0.38
59, 0.35
60, 0.62
61, 0.30
62, 0.27
63, 0.40
64, 0.35
65, 0.46
66, 0.42
67, 0.20
68, 0.57
69, 0.27
70, 0.64
71, 0.23
72, 0.35
73, 0.40
74, 0.55
75, 0.37
76, 0.28
77, 0.37
78, 0.25
79, 0.44
80, 0.42
81, 0.22
82, 0.28
83, 0.36
84, 0.25
85, 0.29
86, 0.70
87, 0.50
88, 0.26
89, 0.19
90, 0.53
91, 0.19
92, 0.12
93, 0.22
94, 0.36
95, 0.46
96, 0.24
97, 0.41
98, 0.45
99, 0.27
100, 0.60
101, 0.15
102, 0.33
103, 0.31
104, 0.38
105, 0.35
106, 0.40
107, 0.49
108, 0.33
109, 0.48
110, 0.24
111, 0.36
112, 0.43
113, 0.23
114, 0.22
115, 0.73
116, 0.41
117, 0.59
118, 0.49
119, 0.25
120, 0.24
121, 0.44
122, 0.38
123, 0.36
124, 0.21
125, 0.30
126, 0.21
127, 0.27
128, 0.42
129, 0.66
130, 0.31
131, 0.66
132, 0.57
133, 0.55
134, 0.75
135, 0.34
136, 0.30
137, 0.34
138, 0.25
139, 0.35
140, 0.50
141, 0.55
142, 0.48
143, 0.52
144, 0.59
145, 0.43
146, 0.19
147, 0.43
148, 0.44
149, 0.39
150, 0.26
151, 0.19
152, 0.20
153, 0.35
154, 0.65
155, 0.54
156, 0.36
157, 0.37
158, 0.48
159, 0.69
160, 0.26
161, 0.47
162, 0.30
163, 0.34
164, 0.22
165, 0.53
166, 0.70
167, 0.51
168, 0.29
169, 0.31
170, 0.36
171, 0.27
172, 0.80
173, 0.32
174, 0.32
175, 0.15
176, 0.63
177, 0.22
178, 0.28
179, 0.62
180, 0.41
181, 0.60
182, 0.16
183, 0.58
184, 0.30
185, 0.25
186, 0.53
187, 0.44
188, 0.22
189, 0.32
190, 0.30
191, 0.45
192, 0.34
193, 0.61
194, 0.26
195, 0.29
196, 0.85
197, 0.55
198, 0.27
199, 0.26
200, 0.50
201, 0.26
202, 0.22
203, 0.45
204, 0.34
205, 0.21
206, 0.39
207, 0.49
208, 0.52
209, 0.68
210, 0.27
211, 0.15
212, 0.33
213, 0.66
214, 0.35
215, 0.30
216, 0.33
217, 0.37
218, 0.46
219, 0.25
220, 0.22
221, 0.39
222, 0.47
223, 0.24
224, 0.40
225, 0.34
226, 0.27
227, 0.39
228, 0.59
229, 0.30
230, 0.44
231, 0.23
232, 0.25
233, 0.12
234, 0.29
235, 0.29
236, 0.66
237, 0.26
238, 0.39
239, 0.42
240, 0.27
241, 0.63
242, 0.47
243, 0.28
244, 0.67
245, 0.20
246, 0.37
247, 0.48
248, 0.17
249, 0.57
250, 0.66
251, 0.26
252, 0.27
253, 0.25
254, 0.18
255, 0.61
256, 0.31
257, 0.32
258, 0.52
259, 0.33
260, 0.30
261, 0.50
262, 0.48
263, 0.33
264, 0.50
265, 0.35
266, 0.38
267, 0.30
268, 0.46
269, 0.57
270, 0.17
271, 0.37
272, 0.29
273, 0.39
274, 0.24
275, 0.27
276, 0.45
277, 0.37
278, 0.65
279, 0.26
280, 0.39
281, 0.39
282, 0.37
283, 0.38
284, 0.59
285, 0.33
286, 0.35
287, 0.39
288, 0.24
289, 0.77
290, 0.28
291, 0.42
292, 0.19
293, 0.47
294, 0.49
295, 0.39
296, 0.22
297, 0.21
298, 0.49
299, 0.63
300, 0.46
301, 0.31
302, 0.38
303, 0.46
304, 0.25
305, 0.41
306, 0.16
307, 0.37
308, 0.36
309, 0.36
310, 0.46
311, 0.33
312, 0.34
313, 0.41
314, 0.90
315, 0.28
316, 0.48
317, 0.32
318, 0.24
319, 0.65
320, 0.27
321, 0.38
322, 0.59
323, 0.28
324, 0.30
325, 0.24
326, 0.46
327, 0.26
328, 0.44
329, 0.61
330, 0.27
331, 0.18
332, 0.41
333, 0.22
334, 0.18
335, 0.47
336, 0.25
337, 0.24
338, 0.67
339, 0.27
340, 0.53
341, 0.48
342, 0.56
343, 0.70
344, 0.39
345, 0.12
346, 0.39
347, 0.46
348, 0.25
349, 0.24
350, 0.27
351, 0.48
352, 0.14
353, 0.62
354, 0.53
355, 0.31
356, 0.20
357, 0.25
358, 0.32
359, 0.50
360, 0.25
361, 0.44
362, 0.28
363, 0.21
364, 0.25
365, 0.64
366, 0.30
367, 0.13
368, 0.38
369, 0.49
370, 0.19
371, 0.31
372, 0.24
373, 0.47
374, 0.27
375, 0.36
376, 0.40
377, 0.22
378, 0.26
379, 0.28
380, 0.42
381, 0.42
382, 0.13
383, 0.40
384, 0.51
385, 0.43
386, 0.22
387, 0.43
388, 0.29
389, 0.29
390, 0.49
391, 0.75
392, 0.31
393, 0.21
394, 0.57
395, 0.62
396, 0.44
397, 0.37
398, 0.25
399, 0.25
400, 0.29
401, 0.62
402, 0.49
403, 0.27
404, 0.23
405, 0.37
406, 0.37
407, 0.29
408, 0.42
409, 0.50
410, 0.23
411, 0.57
412, 0.37
413, 0.30
414, 0.76
415, 0.38
416, 0.18
417, 0.18
418, 0.27
419, 0.35
420, 0.25
421, 0.26
422, 0.21
423, 0.50
424, 0.33
425, 0.49
426, 0.30
427, 0.22
428, 0.30
429, 0.35
430, 0.52
431, 0.14
432, 0.52
433, 0.21
434, 0.27
435, 0.36
436, 0.36
437, 0.58
438, 0.37
439, 0.17
440, 0.44
441, 0.26
442, 0.39
443, 0.38
444, 0.67
445, 0.42
446, 0.49
447, 0.51
448, 0.21
449, 0.34
450, 0.48
451, 0.30
452, 0.50
453, 0.29
454, 0.27
455, 0.44
456, 0.25
457, 0.51
458, 0.19
459, 0.86
460, 0.12
461, 0.24
462, 0.55
463, 0.53
464, 0.34
465, 0.44
466, 0.19
467, 0.83
468, 0.28
469, 0.22
470, 0.20
471, 0.31
472, 0.32
473, 0.21
474, 0.35
475, 0.51
476, 0.30
477, 0.32
478, 0.70
479, 0.66
480, 0.26
481, 0.50
482, 0.32
483, 0.21
484, 0.35
485, 0.49
486, 0.31
487, 0.31
488, 0.30
489, 0.26
490, 0.29
491, 0.29
492, 0.36
493, 0.33
494, 0.25
495, 0.35
496, 0.60
497, 0.35
498, 0.45
499, 0.44
500, 0.77
501, 0.33
502, 0.29
503, 0.43
504, 0.32
505, 0.24
506, 0.21
507, 0.34
508, 0.22
509, 0.29
510, 0.43
511, 0.41
512, 0.52
513, 0.23
514, 0.82
515, 0.49
516, 0.64
517, 0.27
518, 0.19
519, 0.40
520, 0.31
521, 0.55
522, 0.35
523, 0.45
524, 0.19
525, 0.34
526, 0.18
527, 0.29
528, 0.42
529, 0.63
530, 0.64
531, 0.34
532, 0.33
533, 0.78
534, 0.37
535, 0.31
536, 0.37
537, 0.32
538, 0.40
539, 0.35
540, 0.43
541, 0.23
542, 0.17
543, 0.62
544, 0.55
545, 0.24
546, 0.35
547, 0.23
548, 0.24
549, 0.48
550, 0.44
551, 0.56
552, 0.46
553, 0.87
554, 0.29
555, 0.27
556, 0.55
557, 0.56
558, 0.39
559, 0.32
560, 0.59
561, 0.29
562, 0.40
563, 0.55
564, 0.29
565, 0.31
566, 0.31
567, 0.23
568, 0.43
569, 0.34
570, 0.67
571, 0.46
572, 0.32
573, 0.42
574, 0.39
575, 0.27
576, 0.25
577, 0.53
578, 0.29
579, 0.18
580, 0.27
581, 0.49
582, 0.35
583, 0.31
584, 0.40
585, 0.39
586, 0.29
587, 0.47
588, 0.52
589, 0.15
590, 0.61
591, 0.37
592, 0.20
593, 0.53
594, 0.60
595, 0.37
596, 0.55
597, 0.34
598, 0.30
599, 0.24
600, 0.30
601, 0.45
602, 0.72
603, 0.29
604, 0.35
605, 0.39
606, 0.28
607, 0.28
608, 0.16
609, 0.39
610, 0.48
611, 0.57
612, 0.24
