ID,Prob1
0, 0.34
1, 0.16
2, 0.42
3, 0.32
4, 0.43
5, 0.25
6, 0.23
7, 0.17
8, 0.40
9, 0.60
10, 0.22
11, 0.35
12, 0.31
13, 0.83
14, 0.20
15, 0.42
16, 0.61
17, 0.34
18, 0.33
19, 0.22
20, 0.42
21, 0.51
22, 0.23
23, 0.43
24, 0.42
25, 0.26
26, 0.74
27, 0.47
28, 0.37
29, 0.42
30, 0.33
31, 0.16
32, 0.28
33, 0.34
34, 0.31
35, 0.42
36, 0.62
37, 0.50
38, 0.20
39, 0.16
40, 0.20
41, 0.32
42, 0.20
43, 0.21
44, 0.48
45, 0.36
46, 0.16
47, 0.26
48, 0.17
49, 0.51
50, 0.28
51, 0.29
52, 0.26
53, 0.54
54, 0.47
55, 0.51
56, 0.60
57, 0.10
58, 0.24
59, 0.40
60, 0.60
61, 0.32
62, 0.31
63, 0.44
64, 0.34
65, 0.43
66, 0.42
67, 0.27
68, 0.62
69, 0.26
70, 0.61
71, 0.26
72, 0.42
73, 0.38
74, 0.67
75, 0.38
76, 0.33
77, 0.46
78, 0.28
79, 0.41
80, 0.38
81, 0.23
82, 0.36
83, 0.34
84, 0.35
85, 0.25
86, 0.81
87, 0.51
88, 0.36
89, 0.22
90, 0.49
91, 0.22
92, 0.13
93, 0.22
94, 0.29
95, 0.61
96, 0.26
97, 0.42
98, 0.31
99, 0.26
100, 0.60
101, 0.16
102, 0.34
103, 0.33
104, 0.18
105, 0.37
106, 0.45
107, 0.36
108, 0.34
109, 0.40
110, 0.19
111, 0.31
112, 0.39
113, 0.21
114, 0.23
115, 0.87
116, 0.36
117, 0.49
118, 0.51
119, 0.31
120, 0.31
121, 0.41
122, 0.35
123, 0.23
124, 0.18
125, 0.25
126, 0.20
127, 0.32
128, 0.38
129, 0.62
130, 0.39
131, 0.62
132, 0.58
133, 0.54
134, 0.72
135, 0.31
136, 0.31
137, 0.40
138, 0.32
139, 0.40
140, 0.52
141, 0.61
142, 0.54
143, 0.53
144, 0.64
145, 0.46
146, 0.25
147, 0.35
148, 0.43
149, 0.39
150, 0.22
151, 0.25
152, 0.20
153, 0.22
154, 0.67
155, 0.46
156, 0.43
157, 0.36
158, 0.44
159, 0.60
160, 0.28
161, 0.49
162, 0.25
163, 0.34
164, 0.33
165, 0.52
166, 0.74
167, 0.52
168, 0.30
169, 0.25
170, 0.38
171, 0.22
172, 0.80
173, 0.25
174, 0.30
175, 0.14
176, 0.57
177, 0.15
178, 0.30
179, 0.58
180, 0.30
181, 0.49
182, 0.23
183, 0.51
184, 0.29
185, 0.20
186, 0.46
187, 0.40
188, 0.24
189, 0.28
190, 0.29
191, 0.43
192, 0.28
193, 0.60
194, 0.25
195, 0.27
196, 0.83
197, 0.56
198, 0.39
199, 0.27
200, 0.50
201, 0.24
202, 0.31
203, 0.52
204, 0.32
205, 0.20
206, 0.29
207, 0.41
208, 0.54
209, 0.79
210, 0.32
211, 0.24
212, 0.34
213, 0.65
214, 0.36
215, 0.27
216, 0.32
217, 0.41
218, 0.39
219, 0.28
220, 0.25
221, 0.38
222, 0.41
223, 0.32
224, 0.33
225, 0.32
226, 0.44
227, 0.38
228, 0.69
229, 0.31
230, 0.43
231, 0.23
232, 0.25
233, 0.09
234, 0.41
235, 0.27
236, 0.56
237, 0.37
238, 0.54
239, 0.44
240, 0.19
241, 0.63
242, 0.33
243, 0.28
244, 0.69
245, 0.21
246, 0.40
247, 0.57
248, 0.20
249, 0.55
250, 0.66
251, 0.26
252, 0.23
253, 0.21
254, 0.19
255, 0.51
256, 0.29
257, 0.37
258, 0.51
259, 0.25
260, 0.33
261, 0.57
262, 0.57
263, 0.41
264, 0.49
265, 0.37
266, 0.36
267, 0.34
268, 0.56
269, 0.62
270, 0.18
271, 0.31
272, 0.21
273, 0.43
274, 0.30
275, 0.23
276, 0.45
277, 0.36
278, 0.59
279, 0.26
280, 0.47
281, 0.36
282, 0.22
283, 0.37
284, 0.50
285, 0.34
286, 0.30
287, 0.45
288, 0.35
289, 0.66
290, 0.30
291, 0.32
292, 0.19
293, 0.41
294, 0.41
295, 0.49
296, 0.19
297, 0.23
298, 0.46
299, 0.50
300, 0.46
301, 0.28
302, 0.43
303, 0.44
304, 0.22
305, 0.50
306, 0.23
307, 0.32
308, 0.41
309, 0.36
310, 0.41
311, 0.28
312, 0.30
313, 0.35
314, 0.88
315, 0.32
316, 0.43
317, 0.31
318, 0.31
319, 0.67
320, 0.23
321, 0.51
322, 0.57
323, 0.26
324, 0.28
325, 0.23
326, 0.36
327, 0.20
328, 0.37
329, 0.64
330, 0.23
331, 0.15
332, 0.50
333, 0.23
334, 0.20
335, 0.39
336, 0.22
337, 0.24
338, 0.54
339, 0.21
340, 0.50
341, 0.37
342, 0.61
343, 0.63
344, 0.38
345, 0.15
346, 0.40
347, 0.40
348, 0.31
349, 0.33
350, 0.16
351, 0.44
352, 0.16
353, 0.56
354, 0.55
355, 0.39
356, 0.25
357, 0.25
358, 0.36
359, 0.39
360, 0.33
361, 0.46
362, 0.33
363, 0.24
364, 0.25
365, 0.58
366, 0.17
367, 0.12
368, 0.39
369, 0.45
370, 0.20
371, 0.38
372, 0.26
373, 0.46
374, 0.32
375, 0.34
376, 0.36
377, 0.17
378, 0.30
379, 0.29
380, 0.46
381, 0.42
382, 0.14
383, 0.45
384, 0.42
385, 0.52
386, 0.23
387, 0.55
388, 0.30
389, 0.28
390, 0.50
391, 0.68
392, 0.31
393, 0.26
394, 0.61
395, 0.61
396, 0.36
397, 0.41
398, 0.31
399, 0.23
400, 0.27
401, 0.61
402, 0.53
403, 0.20
404, 0.25
405, 0.34
406, 0.37
407, 0.20
408, 0.35
409, 0.49
410, 0.19
411, 0.53
412, 0.37
413, 0.31
414, 0.80
415, 0.25
416, 0.21
417, 0.19
418, 0.32
419, 0.40
420, 0.33
421, 0.26
422, 0.18
423, 0.42
424, 0.42
425, 0.50
426, 0.32
427, 0.26
428, 0.41
429, 0.44
430, 0.63
431, 0.10
432, 0.55
433, 0.19
434, 0.31
435, 0.37
436, 0.37
437, 0.59
438, 0.39
439, 0.19
440, 0.34
441, 0.28
442, 0.41
443, 0.43
444, 0.72
445, 0.32
446, 0.46
447, 0.51
448, 0.22
449, 0.40
450, 0.40
451, 0.27
452, 0.54
453, 0.24
454, 0.25
455, 0.37
456, 0.21
457, 0.45
458, 0.19
459, 0.76
460, 0.16
461, 0.23
462, 0.46
463, 0.52
464, 0.28
465, 0.54
466, 0.19
467, 0.79
468, 0.26
469, 0.33
470, 0.20
471, 0.33
472, 0.34
473, 0.26
474, 0.39
475, 0.49
476, 0.24
477, 0.27
478, 0.67
479, 0.74
480, 0.25
481, 0.38
482, 0.28
483, 0.21
484, 0.37
485, 0.51
486, 0.25
487, 0.33
488, 0.47
489, 0.27
490, 0.24
491, 0.24
492, 0.29
493, 0.37
494, 0.20
495, 0.44
496, 0.55
497, 0.35
498, 0.51
499, 0.43
500, 0.70
501, 0.33
502, 0.27
503, 0.33
504, 0.28
505, 0.27
506, 0.24
507, 0.46
508, 0.29
509, 0.33
510, 0.42
511, 0.41
512, 0.43
513, 0.20
514, 0.74
515, 0.47
516, 0.65
517, 0.20
518, 0.17
519, 0.44
520, 0.32
521, 0.60
522, 0.39
523, 0.41
